ID,GUID,Model ID,Modified,USN,Tags,Fields,Sort Field
1625591144694,Qy{b>x-q8S,1625307584571,1625591144,5,,"Virulence factor in rheumatic fever for streptococcus&nbsp; | Hat with an M on it - inactivates complement and also causes the formation of cross reactive antibodies (molecular mimicry)&nbsp;<br><br><img src=""paste-577bc65754e89660d46673dc84891385c2cfeb55.jpg"">",Virulence factor in rheumatic fever for streptococcus 
1625591230974,y*(_>~[l5+,1625307584571,1625591230,5,,"Effect of streptococcus pyogenes on the heart&nbsp; | Can cause rheumatic heart disease. Can cause mitral regurgitation and then mitral stenosis&nbsp;<br><br><img src=""paste-577bc65754e89660d46673dc84891385c2cfeb55.jpg"">",Effect of streptococcus pyogenes on the heart 
1625591459555,MTB86Wz|:8,1625307584571,1625591459,5,,"Diagnosis of rheumatic fever&nbsp; | JONES criteria&nbsp;<br><br>Migratory polyarthritis (J for joints)&nbsp;<br>Pancarditis (heart shaped)&nbsp;<br>Subcutaneous nodules (design on the cupcakes)&nbsp;<br>Rash with C shaped erythema (erythema)&nbsp;<br>Sydenham chorea - rapid involuntary movement throughout the body&nbsp;<br><br><br><img src=""paste-577bc65754e89660d46673dc84891385c2cfeb55.jpg"">",Diagnosis of rheumatic fever 
1625591536368,B!S%hOH*Y),1625307584571,1625591536,5,,"Effect of streptococcus pyogenes on the kidney? | Glomerular knot - post streptococcal glomerulonephritis caused by depositions within the glomeruli which can cause nephritic syndrome&nbsp;<br><br><img src=""paste-577bc65754e89660d46673dc84891385c2cfeb55.jpg"">",Effect of streptococcus pyogenes on the kidney?
1625613106960,ii36W%;QJ~,1625307584571,1625731003,8,,"Prevention of rheumatic fever after strep throat? | Guy with the pencil - prompt treatment with penicillin&nbsp;<br><br>but cannot prevent poststreptococcal glomerulonephritis<br><br><img src=""paste-0d630fa2afcefc77cf229e188dd13477e98f3401.jpg"">",Prevention of rheumatic fever after strep throat?
1625613161903,qN^FxU30rq,1625307584571,1625613238,5,,"Other virulence factors for streptococcus pyogenes? | Streptolysin O - which can be used to diagnose strep throat&nbsp;<br><br>Streptokinase which converts plaminogen to plasmin which prevents fibrin barrier&nbsp;<br><br><br><img src=""paste-0d630fa2afcefc77cf229e188dd13477e98f3401.jpg"">",Other virulence factors for streptococcus pyogenes?
1625613287487,vT&>3wR5r5,1625307584571,1625730965,8,,"Streptococcus pyogenes and bacitracin? | Bacitracin sensitive&nbsp;<br><br><img src=""paste-0d630fa2afcefc77cf229e188dd13477e98f3401.jpg"">",Streptococcus pyogenes and bacitracin?
1625646201040,+R;PHkh%e,1625307584571,1625646201,6,,"Streptococus agalactiae features&nbsp; | Purple planet - gram positive&nbsp;<br>Hippo on the floor with baby - hippurate hydrolysis positive&nbsp;<br>Encapsulated&nbsp;<br>Beta haemolytic lamp&nbsp;<br>CAMP factor produced - enlarges region of haemolysis&nbsp;<br>Bacitracin resistant (basset hound)&nbsp;<br><br><img src=""paste-f470322dc3bc403abd8e35b40821f4331d6e62b3.jpg"">",Streptococus agalactiae features 
1625646362149,l3i%H$ES?O,1625307584571,1625646362,6,,"Streptococcus agalactiae infection&nbsp; | Helmet on baby's head - Number one cause of neonatal meningitis&nbsp;<br><br>Red onesie - number one cause of neonatal sepsis&nbsp;<br><br>Coughing baby - can cause pneumonia&nbsp;<br><br><img src=""paste-f470322dc3bc403abd8e35b40821f4331d6e62b3.jpg""><br><br><br><br>",Streptococcus agalactiae infection 
1625646496497,f9;_A_/(t`,1625307584571,1625646496,6,,"Screening of Streptococcus agalactiae&nbsp; | Pregnant women are screened for group B strep at 35-37 week gestation since GBS is the most common cause of neonatal meningitis&nbsp;<br><br><img src=""paste-f470322dc3bc403abd8e35b40821f4331d6e62b3.jpg"">",Screening of Streptococcus agalactiae 
1625646567564,dEC>!NH0sJ,1625307584571,1625646567,6,,"Treatment for streptococcus agalactiae&nbsp; | Spaceship held by 3 pencils&nbsp;<br><br>If testsed positive for Strep agalactiae at 35-37 weeks, then intrapartum penicillin is delivered IV&nbsp;<br><br><img src=""paste-f470322dc3bc403abd8e35b40821f4331d6e62b3.jpg"">",Treatment for streptococcus agalactiae 
1625647007713,wu<<E>A>B@,1625307584571,1625647007,6,,"Features of streptococcus pneumoniae&nbsp; | Think about sir pneumo in the knight tournament&nbsp;<br>Purple banners - gram positive&nbsp;<br>A knight tournament - alpha haemolytic&nbsp;<br>Chin is exposed in helmet - Optochin sensitive<br>Bile soluble&nbsp;<br>Encapsulated - wearing armour&nbsp;<br><br><img src=""paste-bc157b94aed7b981407fa1b6e402bbc0afd71166.jpg""><br><br>",Features of streptococcus pneumoniae 
1625647132109,DI4>>Ll&[^,1625307584571,1625647132,6,,"Infection with streptococcus pneumoniae&nbsp; | Rust colour on the chest plate of knight - lobar pneumoniae with rust coloured sputum&nbsp;<br><br>Servant mopping - most common cause of MOPS (Meningitis, Otitis media, Pneumonia and Sinusitis)&nbsp;<br><br><img src=""paste-bc157b94aed7b981407fa1b6e402bbc0afd71166.jpg""><br><br><br>",Infection with streptococcus pneumoniae 
1625647233442,ch<l-P4j(`,1625307584571,1625647233,6,,"What is the reason for why Streptococcus pneumoniae can infect the mucosa so easily? | Think about the IgA shield - can cleave at the hinge region so decreased effectiveness of IgA&nbsp;<br><br><img src=""paste-bc157b94aed7b981407fa1b6e402bbc0afd71166.jpg"">",What is the reason for why Streptococcus pneumoniae can infect the mucosa so easily?
1625647269071,yV:ML.yKx_,1625307584571,1625647269,6,,"Patients more at risk to Streptococcus pneumoniae? | Sickle cell disease patients - since it is an encapsulated bacteria and spleen affected in SCD&nbsp;<br><br><img src=""paste-bc157b94aed7b981407fa1b6e402bbc0afd71166.jpg"">",Patients more at risk to Streptococcus pneumoniae?
1625647311556,W{[LijUGO,1625307584571,1625647311,6,,"Treatment for streptococcus pneumoniae? | Three axes flag - Ceftriaxone&nbsp;<br>MaCROWlide&nbsp;<br><br><img src=""paste-bc157b94aed7b981407fa1b6e402bbc0afd71166.jpg"">",Treatment for streptococcus pneumoniae?
1625732463401,EN1l}&h~$$,1625307584571,1625732463,8,,"Streptococcus viridans features&nbsp; | Gram positive&nbsp;<br>Non encapsulated - in the sketch not wearing armour&nbsp;<br>Optochin resistant - chin is not exposed&nbsp;<br>Bile resistant - the horses have shoes which allows it to resist the bile<br><br><img src=""paste-33a75e883c10ddfc4e5c500ab55e4efca576092c.jpg"">",Streptococcus viridans features 
1625732514726,i:{L;O/jW$,1625307584571,1625732514,8,,"Streptococcus viridans infection | Mitre hat - can adhere to previously damaged heart valves (commonly mitral valve) - leading to endocarditis&nbsp;<br><br><img src=""paste-33a75e883c10ddfc4e5c500ab55e4efca576092c.jpg"">",Streptococcus viridans infection
1625732572421,iC{nK(I<8y,1625307584571,1625758027,8,,"How does streptococcus viridans cause infection? | Has a deck of cards - can produce dextrans which allows them to adhere to tooth enamel and fibrin aggregates&nbsp;<br><br><img src=""paste-33a75e883c10ddfc4e5c500ab55e4efca576092c.jpg"">",How does streptococcus viridans cause infection?
1625732614338,LYhtef!zLK,1625307584571,1625732614,8,,"Streptococcus viridans and teeth&nbsp; | Yellow teeth on donkey - can be the cause of dental caries&nbsp;<br><br><img src=""paste-33a75e883c10ddfc4e5c500ab55e4efca576092c.jpg"">",Streptococcus viridans and teeth 
1625732713904,q{DD!@R;fv,1625307584571,1625732794,8,,"Enterococcus faecium and faecalis features&nbsp; | Gram positive&nbsp;<br>Faecalis is responsible for 80-90% of enterococcal infections&nbsp;<br>Green boots - can resist the bile so bile resistant&nbsp;<br><br><img src=""paste-943de1588328d1d672a7d0054d5c1a363750b070.jpg"">",Enterococcus faecium and faecalis features 
1625732743686,q#nRg~xagB,1625307584571,1625732765,8,,"Growth medium for enterococcus&nbsp; | Can be grown in 6.5% hypertonic saline<br><br><img src=""paste-943de1588328d1d672a7d0054d5c1a363750b070.jpg"">",Growth medium for enterococcus 
1625732883953,b:XQP}52lr,1625307584571,1625732883,8,,"Infection with enterococcus faecium and faecalis&nbsp; | Do U heart trees - can cause various infections including UTIs, endocarditis and biliary tree infection&nbsp;<br><br><img src=""paste-943de1588328d1d672a7d0054d5c1a363750b070.jpg"">&nbsp;",Infection with enterococcus faecium and faecalis 
1625733017266,b<XDqh;14),1625307584571,1625733017,8,,"Treatment for enterococcus faecium and faecalis&nbsp; | Remember the resisting into the van - thats because they have developed resistance to many antibiotics like vancomycin&nbsp;<br><br>Think of the lines surrounding the van - linezolid and the tiger stripes as tigecycline&nbsp;<br><br><img src=""paste-943de1588328d1d672a7d0054d5c1a363750b070.jpg"">",Treatment for enterococcus faecium and faecalis 
1625733263076,yWDE=*JfM=,1625307584571,1625733263,8,,"Bacillus anthracis and cereus features&nbsp; | Gram positive - purple mountains behind them&nbsp;<br><br>Line of ships - occur in chains&nbsp;<br>Capsule (for other bacteria would be polysaccharide) but for bacillus anthracis it is made of a polypeptide (poly-gamma-d-glutamic acid)&nbsp;<br>Produce spores - walnuts&nbsp;<br><br><img src=""paste-5f0cbe64de8d73546b821e7e4f7d4c136c57939d.jpg"">",Bacillus anthracis and cereus features 
1625733389842,D5ZaCGIA5w,1625307584571,1625733389,8,,"Bacillus anthracis cutaneous presentation&nbsp; | Ring of fire - in the middle of the erythema, there is an area of necrosis&nbsp;<br><br><img src=""paste-5f0cbe64de8d73546b821e7e4f7d4c136c57939d.jpg""><br><img src=""Eschar-from-Rickettsia-Infection-1296x728-gallery_Slide1.jpg"">",Bacillus anthracis cutaneous presentation 
1625733546773,v9R[JibBJ`,1625307584571,1625733546,8,,"Exotoxins from bacillus anthracis&nbsp; | Think about the shields&nbsp;<br><br>One shield has edema factor (EF) and also the tent - mimics adenylate cyclase which increases cAMP which increases dysfunction of phagocytes&nbsp;<br><br>Another shield has lethal factor - protease that cleaves MAPK which leads to apoptosis, necrosis and death&nbsp;<br><br><img src=""paste-bc98617ea61550465e75ba16838dfef8fbf9fd91.jpg"">",Exotoxins from bacillus anthracis 
1625733622054,wTxH]^!Lq-,1625307584571,1625733622,8,,"Where is bacillus anthracis found? | Sheep wool - sometimes the spores would be carried within the animal wool&nbsp;<br><br><img src=""paste-bc98617ea61550465e75ba16838dfef8fbf9fd91.jpg"">",Where is bacillus anthracis found?
1625733708769,fQ0WR^ALSP,1625307584571,1625733708,8,,"Symptoms of bacillus anthracis&nbsp; | Might have skin necrosis - with the ring of fire&nbsp;<br>Bloody axe - haemorrhagic mediastinitis which would show widened mediastinum on x-ray (widened mast on boat)&nbsp;<br><br><img src=""paste-bc98617ea61550465e75ba16838dfef8fbf9fd91.jpg""><br>&nbsp;",Symptoms of bacillus anthracis 
1625733754787,e@`F}JvlGZ,1625307584571,1625733754,8,,"Treatment for bacillus anthracis&nbsp; | Viking boats with shields of flower and bicycle wheel&nbsp;<br><br>fluroquinolones<br>Doxycyclines&nbsp;<br><br><img src=""paste-bc98617ea61550465e75ba16838dfef8fbf9fd91.jpg"">",Treatment for bacillus anthracis 
1625733852916,EV_3gM[:&W,1625307584571,1625733852,8,,"Typical cause of bacillus cereus infection | Reheated rice - spore germination and production of exotoxin which leads to watery diarrhoea (guy eating rice towards the left)&nbsp;<br><br><img src=""paste-bc98617ea61550465e75ba16838dfef8fbf9fd91.jpg"">",Typical cause of bacillus cereus infection
1625758723519,q&f?P3:yq{,1625307584571,1625758723,9,,"Features of Clostridium tetani&nbsp; | Gas mask - obligate anaerobe&nbsp;<br>Purple hues - gram positive&nbsp;<br>Walnuts - spore forming&nbsp;<br><br><img src=""paste-7819b4388e5c5dffc02d73d12df41145bf8b11dd.jpg"">",Features of Clostridium tetani 
1625758791897,iW8:Mj%8P|,1625307584571,1625773772,9,,"How do you usually get infected with clostridium tetani? | Puncture wounds from barbed wire or a rusty nail<br><br><img src=""paste-7819b4388e5c5dffc02d73d12df41145bf8b11dd.jpg"">",How do you usually get infected with clostridium tetani?
1625758917330,c1S5U$T@Sd,1625307584571,1625758917,9,,"Clostridium tetani infection&nbsp; | Trismus - paralysis of the jaw muscles&nbsp;<br>Risus sardonicus (evil smile appearance)&nbsp;<br>Arched back - arched monkey&nbsp;<br><br><img src=""paste-7819b4388e5c5dffc02d73d12df41145bf8b11dd.jpg"">",Clostridium tetani infection 
1625759074466,mKJa4:4[Yz,1625307584571,1625759074,9,,"Toxin from clostridium tetani&nbsp; | Protease that cleaves the SNARE proteins&nbsp;&nbsp;<br><br>Prevents the release of glycine and GABA from renshaw cells causing muscle spasms (think about the monkey with the wrench and the saw)&nbsp;<br><br><img src=""paste-7819b4388e5c5dffc02d73d12df41145bf8b11dd.jpg"">",Toxin from clostridium tetani 
1625759135665,fxirGMe[`.,1625307584571,1625759135,9,,"Prevention of Clostridium tetani? | Tetanus vaccine which contains the deactivated tetanus toxin (also given with the diphtheria toxoid and pertussis vaccine)<br><br><img src=""paste-7819b4388e5c5dffc02d73d12df41145bf8b11dd.jpg"">",Prevention of Clostridium tetani?
1625828601994,ee&9f=r6yu,1625307584571,1625828601,12,,"Clostridium botulinum features&nbsp; | Gram positive - purple hues&nbsp;<br>Spore forming - using the nuts (rather than the walnuts)&nbsp;<br>Guy in the gas mask - obligate anaerobe&nbsp;<br><br><img src=""paste-7dbd92d6ed0f69e098ab09ece1da066cfa15f426.jpg"">",Clostridium botulinum features 
1625828635807,z4D~kb$0<w,1625307584571,1625828635,12,,"Where is Clostridium botulinum found? | Anaerobic condition of improperly canned food - which is why these bots are made of cans&nbsp;<br><br><img src=""paste-7dbd92d6ed0f69e098ab09ece1da066cfa15f426.jpg"">",Where is Clostridium botulinum found?
1625828709724,"s,A32+Oh?)",1625307584571,1625828709,12,,"Clostridium botulinum infection&nbsp; | Descending paralysis - with a limp neck and also starting from cranial nerves (so can have diplopia and ptosis)&nbsp;<br><br><img src=""paste-7dbd92d6ed0f69e098ab09ece1da066cfa15f426.jpg"">",Clostridium botulinum infection 
1625828777406,B_5Tfdo(o2,1625307584571,1625828777,12,,"Clostridium botulinum mechanism&nbsp; | Produce a protease which cleaves the SNARE protein which inhibits the release of acetylcholine&nbsp;<br><br><img src=""paste-7dbd92d6ed0f69e098ab09ece1da066cfa15f426.jpg"">",Clostridium botulinum mechanism 
1625828856392,d14`W&fO:h,1625307584571,1625828856,12,,"Infant botulism&nbsp;<br><br>Where is it commonly found?&nbsp; | Ingestion of spores - colonise the GI tract while in adults due to performed toxin so have floppy baby&nbsp;<br><br>In honey&nbsp;<br><br><img src=""paste-7dbd92d6ed0f69e098ab09ece1da066cfa15f426.jpg"">",Infant botulism Where is it commonly found? 
1625828952271,"wk,4Nk8UBn",1625307584571,1625828952,12,,"Clostridium perfringens features&nbsp; | Gram positive - purple hues&nbsp;<br>Walnuts - spore forming&nbsp;<br>soil - found in the soil&nbsp;<br>Gas mask - obligate anaerobe&nbsp;<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">",Clostridium perfringens features 
1625828979604,ogBPC_Q!&c,1625307584571,1625828979,12,,"Reason for clostridium perfringens infection | Very common cause is from military combat wounds. Think of the scene from a military zone&nbsp;<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">&nbsp;",Reason for clostridium perfringens infection
1625829097835,Hd)#twrHng,1625307584571,1625829097,12,,"Infection with clostridium perfringens&nbsp; | Think about the smoke in the background - skin and soft tissue infection that can lead to gas gangrene&nbsp;<br><br>Alpha flag - alpha toxin which cleaves lecithin which damages the cell membrane (washing line) and causes the myonecrosis and haemolysis (tomatoes)&nbsp;<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">",Infection with clostridium perfringens 
1625829139636,Q([{pdTj[I,1625307584571,1625829139,12,,"Investigation for clostridium perfringens&nbsp; | Double fine zone - double zone of beta haemolysis when on blood agar (since both alpha and theta toxin have haemolytic activity)&nbsp;<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">",Investigation for clostridium perfringens 
1625829174353,c`uund4:V%,1625307584571,1625829174,12,,"First line treatment of Clostridium perfringens | Surgical debridement and think of the woman at the tomato stand with the pencil - penicillin&nbsp;<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">",First line treatment of Clostridium perfringens
1625829225218,yR|JQ:t5ke,1625307584571,1625829225,12,,"Clostridium perfringens and water | If drinking muddy water, late onset food poisoning (hence the slow sign) and watery diarhhoea<br><br><img src=""paste-b83bb512be74912a14a304c4d17791cae0b504f2.jpg"">",Clostridium perfringens and water
1625835504034,AB9Ib%3jV{,1625307584571,1625835504,13,,"Features of clostridiodes difficile&nbsp; | Purple - gram positive&nbsp;<br>Gas mask - obligate anaerobe&nbsp;<br>Walnuts - spore forming&nbsp;<br>Eating chocolate walnuts - transmitted by faaecol oral route&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Features of clostridiodes difficile 
1625835560829,h)z`v%}7/k,1625307584571,1625835560,13,,"Clostridoides difficle and washing&nbsp; | Usually spores are resistant to alcohol based gels so wash hands with soap&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Clostridoides difficle and washing 
1625835610046,h_Js6fJ;vO,1625307584571,1625835693,13,,"Common cause of C. Difficile&nbsp; | Antibiotics - disrupts the microbiome&nbsp;<br><br>Think about the octopus - 'clean'damycin, fluoroquinolone, cephalosporin, penicillins and parasole (PPIs)&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Common cause of C. Difficile 
1625835790050,F#JWK/]iV},1625307584571,1625835808,13,,"Clostridioides Difficile toxins&nbsp; | A and B (annoying kids that act on the gummy bears) which are the mucosal cells and disrupt the cytoskeleton and destroy the tight junction.&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Clostridioides Difficile toxins 
1625835900714,F-Q;:XqSs=,1625307584571,1625835900,13,,"Clostridioides Difficile infection&nbsp; | Pseudomembranous colitis&nbsp;<br>Chocolate waterfall - watery diarrhoea&nbsp;<br>White birds - leukocytosis and fever&nbsp;<br>Big pipe with the chocolate in - can lead to toxic megacolon&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Clostridioides Difficile infection 
1625835982499,LeR<O/lBi1,1625307584571,1625836060,13,,"Testing for C. Difficile&nbsp; | Using NAAT (Nucleic acid amplificationm usually PCR to look for the toxin encoding genes)&nbsp;<br><br>Think of gnatts - which are the insects around the kid&nbsp;&nbsp;<br><br>Also EIA test - for the glutamate dehydrogenase&nbsp;<br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Testing for C. Difficile 
1625836090314,lQEWdv5KQZ,1625307584571,1625836090,13,,"First line therapy for Clostridioides difficile infection&nbsp; | Oral vancomycin - think of the van with the mouth on it&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",First line therapy for Clostridioides difficile infection 
1625836148995,It_ZTzGLjP,1625307584571,1625836148,13,,"Other treatments for C. Difficile infections | There is the the fiddler - fidaxomicin&nbsp;<br><br>Metro with ivy - IV metronidazole&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",Other treatments for C. Difficile infections
1625836180212,"u,fvK`bSqn",1625307584571,1625836180,13,,"What surgery can be done for C. Difficile infections? | Faecal microbiota transplantation (plants in pipe)&nbsp;<br><br><img src=""paste-cf400136240a480e3b89e8ef2b55e5b31c7b6f83.jpg"">",What surgery can be done for C. Difficile infections?
1625838169879,m+)oXSBz|^,1625307584571,1625838169,14,,"Histoplasma capsulatam associations&nbsp; | Bat and bird droppings and is endemic to midwestern and east central states&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg"">",Histoplasma capsulatam associations 
1625838269758,cgrUnrM21Z,1625307584571,1625838269,14,,"Histplasma capsulatam infection&nbsp; | Macro'cage' - macrophage phagocytize the yeast form of histoplasma capsulatum in the lungs&nbsp;<br><br>and can cause calcification in the lungs and erythema nodosum&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg""><br><br>",Histplasma capsulatam infection 
1625838361626,"B!,CY{SVZN",1625307584571,1625838361,14,,"Histoplasma capsulatam testing&nbsp; | Staglacite (red and yellow) can be detectd in the urine or in the serum&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg"">",Histoplasma capsulatam testing 
1625838394792,G$o&M`hS[+,1625307584571,1625838394,14,,"Histoplasma capsulatum microscope&nbsp; | Oval cells within macrophage&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg"">",Histoplasma capsulatum microscope 
1625838472454,I&L`~fslT0,1625307584571,1625838472,14,,"Disseminated histoplasmosis cause and symptoms&nbsp; | immunocompromised&nbsp;<br><br>Cave drawing with the large liver and spleen (hepatosplenomegaly)&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg"">",Disseminated histoplasmosis cause and symptoms 
1625838537637,Gmn;]B2Kap,1625307584571,1625838537,14,,"Treatment for histoplasma capsulatum&nbsp; | Pine cones (coneazole) -azoles are effective&nbsp;<br><br>In immunocompromised - drawing of amphibian (amphotericin B)&nbsp;<br><br><img src=""paste-ea10fe8dedf58553fd57afd7b4f4f3b7dfcea2eb.jpg"">",Treatment for histoplasma capsulatum 
1625910101331,pwNd+7yn<],1625307584571,1625910101,16,,"Corynebacterium diphtheriae features&nbsp; | Gram positive - purple stadium&nbsp;<br>Red and blue maracas - due to metochromatic granules&nbsp;<br><br><img src=""paste-5926946841662ae4f53eccb32e8293d055660647.jpg"">",Corynebacterium diphtheriae features 
